show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duracao_min
s1138,Movie,The Knight and the Princess,Bashir El Deek,Egypt,4/1/2021,2019,TV-PG,96 min,"Action & Adventure, International Movies, Music & Musicals",96
s1139,Movie,The Pianist,Roman Polański,United Kingdom,4/1/2021,2002,R,149 min,"Dramas, Independent Movies, International Movies",149
s1140,Movie,The Stepfather,Nelson McCormick,United States,4/1/2021,2009,PG-13,102 min,"Horror Movies, Thrillers",102
s1141,Movie,Universal Soldier: The Return,Mic Rodgers,United States,4/1/2021,1999,R,83 min,Action & Adventure,83
s1142,Movie,Wazir,Bejoy Nambiar,India,4/1/2021,2016,TV-14,98 min,"Dramas, International Movies, Thrillers",98
s1143,Movie,White Boy,Shawn Rech,United States,4/1/2021,2017,TV-MA,83 min,Documentaries,83
s1145,Movie,Yes Man,Peyton Reed,United States,4/1/2021,2008,PG-13,104 min,"Comedies, Romantic Movies",104
s1146,Movie,At Eternity's Gate,Julian Schnabel,Ireland,3/31/2021,2018,PG-13,111 min,Dramas,111
s1148,Movie,Not a Game,Jose Gomez,United Kingdom,3/31/2021,2020,TV-MA,98 min,"Documentaries, International Movies, Sports Movies",98
s1151,Movie,7 Yards: The Chris Norton Story,Jonathon Link,United States,3/30/2021,2021,TV-PG,93 min,Documentaries,93
s1152,Movie,Octonauts & the Ring of Fire,Blair Simmons,China,3/30/2021,2021,TV-Y,73 min,Children & Family Movies,73
s1160,Movie,Black Is Beltza,Fermín Muguruza,Not Given,3/26/2021,2018,TV-MA,87 min,"Dramas, International Movies",87
s1154,Movie,Mandela: Long Walk to Freedom,Justin Chadwick,United Kingdom,3/29/2021,2013,PG-13,141 min,"Dramas, International Movies",141
s1155,Movie,Lawless,John Hillcoat,United States,3/28/2021,2012,R,116 min,Dramas,116
s1156,Movie,Marked,Nadine Ibrahim,Nigeria,3/28/2021,2021,TV-PG,21 min,"Documentaries, International Movies",21
s1157,Movie,A Week Away,Roman White,United States,3/26/2021,2021,TV-PG,98 min,"Children & Family Movies, Faith & Spirituality, Music & Musicals",98
s1161,Movie,Croupier,Mike Hodges,Ireland,3/26/2021,1998,TV-MA,95 min,"Dramas, Independent Movies, Thrillers",95
s1163,Movie,Keeping the Bees,Eylem Kaftan,Turkey,3/26/2021,2020,TV-14,93 min,"Dramas, International Movies",93
s1165,Movie,Ni de coña,Fernando Ayllón,Spain,3/26/2021,2020,TV-MA,97 min,"Comedies, International Movies",97
s1166,Movie,Pagglait,Umesh Bist,India,3/26/2021,2021,TV-PG,114 min,"Comedies, Dramas, International Movies",114
s1168,Movie,Caught by a Wave,Massimiliano Camaiti,Italy,3/25/2021,2021,TV-14,100 min,"Dramas, International Movies, Romantic Movies",100
s1171,Movie,Secret Magic Control Agency,Aleksey Tsitsilin,Russia,3/25/2021,2021,TV-Y7,105 min,"Children & Family Movies, Comedies",105
s1172,Movie,Seaspiracy,Ali Tabrizi,United States,3/24/2021,2021,TV-14,90 min,Documentaries,90
s1173,Movie,Loyiso Gola: Unlearning,Kagiso Lediga,South Africa,3/23/2021,2021,TV-MA,60 min,Stand-Up Comedy,60
s1184,Movie,Reframe THEATER EXPERIENCE with you,Taketoshi Sado,Not Given,3/19/2021,2020,TV-G,84 min,"International Movies, Music & Musicals",84
s1176,Movie,Philomena,Stephen Frears,United Kingdom,3/22/2021,2013,PG-13,98 min,"Dramas, Independent Movies, International Movies",98
s1177,Movie,Any Crybabies Around?,Takuma Sato,Japan,3/20/2021,2020,TV-MA,108 min,"Dramas, International Movies",108
s1178,Movie,Hospital,Brody Chu,Taiwan,3/20/2021,2020,TV-MA,90 min,"Horror Movies, International Movies",90
s1179,Movie,Jiu Jitsu,Dimitri Logothetis,United States,3/20/2021,2020,R,102 min,Action & Adventure,102
s1185,Movie,The Yin Yang Master,Li Weiran,China,3/19/2021,2021,TV-14,120 min,"Action & Adventure, International Movies",120
s1186,Movie,Who's the Boss,Chinaza Onuzo,Nigeria,3/19/2021,2020,TV-MA,106 min,"Comedies, International Movies, Romantic Movies",106
s1188,Movie,Deadly Illusions,Anna Elizabeth James,United States,3/18/2021,2021,R,115 min,Thrillers,115
s1189,Movie,Get the Goat,Vitor Brandt,Brazil,3/18/2021,2021,TV-14,98 min,"Action & Adventure, Comedies, International Movies",98
s1190,Movie,Nate Bargatze: The Greatest Average American,Troy Miller,United States,3/18/2021,2021,TV-G,60 min,Stand-Up Comedy,60
s1191,Movie,Skylines,Liam O'Donnell,United Kingdom,3/18/2021,2020,R,113 min,Action & Adventure,113
s1192,Movie,The Fluffy Movie,"Manny Rodriguez, Jay Lavender",United States,3/18/2021,2014,PG-13,101 min,Stand-Up Comedy,101
s1193,Movie,The Present,Farah Nabulsi,United Kingdom,3/18/2021,2020,TV-MA,24 min,"Dramas, International Movies",24
s1195,Movie,Catch.er,Walter Taylaur,Nigeria,3/17/2021,2017,TV-14,80 min,"Dramas, International Movies, Thrillers",80
s1196,Movie,Operation Varsity Blues: The College Admissions Scandal,Chris Smith,United States,3/17/2021,2021,R,100 min,Documentaries,100
s1198,Movie,Get on Up,Tate Taylor,United Kingdom,3/16/2021,2014,PG-13,139 min,"Dramas, Music & Musicals",139
s1199,Movie,RebellComedy: Straight Outta the Zoo,Ladislaus Kiraly,Germany,3/16/2021,2021,TV-MA,74 min,Stand-Up Comedy,74
s1200,Movie,Savages,Oliver Stone,United States,3/16/2021,2012,R,131 min,"Dramas, Thrillers",131
s1203,Movie,C/O Kaadhal,Hemambar Jasti,India,3/15/2021,2021,TV-14,131 min,"Dramas, International Movies, Romantic Movies",131
s1204,Movie,The BFG,Steven Spielberg,United States,3/15/2021,2016,PG,118 min,"Children & Family Movies, Dramas",118
s1205,Movie,The Last Blockbuster,Taylor Morden,United States,3/15/2021,2020,TV-14,87 min,Documentaries,87
s1209,Movie,Çarsi Pazar,Muharrem Gülmez,Turkey,3/12/2021,2015,TV-MA,97 min,"Comedies, International Movies",97
s1210,Movie,Just In Time,Dolapo Adeleke,Kenya,3/12/2021,2020,TV-G,92 min,"Comedies, Dramas, International Movies",92
s1212,Movie,Mucize,Mahsun Kırmızıgül,Turkey,3/12/2021,2015,TV-14,136 min,"Dramas, International Movies",136
s1208,Movie,Audrey,Helena Coan,Not Given,3/14/2021,2020,TV-14,101 min,Documentaries,101
s1194,Movie,Wave of Cinema: 90's Generation,Adriano Rudiman,Not Given,3/18/2021,2020,TV-PG,51 min,"Documentaries, International Movies, Music & Musicals",51
s1213,Movie,Paper Lives,Can Ulkay,Turkey,3/12/2021,2021,TV-MA,97 min,"Dramas, International Movies",97
s1215,Movie,Quiet,Luis Alejandro Pérez,Not Given,3/12/2021,2020,TV-MA,103 min,"Dramas, International Movies, Music & Musicals",103
s1216,Movie,Romantik Komedi,Ketche,Turkey,3/12/2021,2010,TV-MA,110 min,"Comedies, International Movies, Romantic Movies",110
s1217,Movie,Romantik Komedi 2: Bekarlığa Veda,Erol Özlevi,Turkey,3/12/2021,2013,TV-MA,105 min,"Comedies, International Movies, Romantic Movies",105
s1219,Movie,YES DAY,Miguel Arteta,United States,3/12/2021,2021,PG,90 min,"Children & Family Movies, Comedies",90
s1220,Movie,You're Everything To Me,Tolga Örnek,Turkey,3/12/2021,2016,TV-PG,107 min,"Comedies, Dramas, Independent Movies",107
s1221,Movie,Coven of Sisters,Pablo Agüero,Spain,3/11/2021,2021,TV-MA,92 min,"Dramas, Independent Movies, International Movies",92
s1222,Movie,Generasi 90an: Melankolia,Mohammad Irfan Ramly,Indonesia,3/11/2021,2020,TV-14,94 min,"Dramas, International Movies",94
s1223,Movie,The Block Island Sound,"Kevin McManus, Matthew McManus",United States,3/11/2021,2020,TV-MA,99 min,"Horror Movies, Independent Movies",99
s1229,Movie,Bombay Rose,Gitanjali Rao,India,3/8/2021,2021,PG-13,97 min,"Dramas, Independent Movies, International Movies",97
s1231,Movie,Aelay,Halitha Shameem,India,3/5/2021,2021,TV-14,151 min,"Comedies, Dramas, Independent Movies",151
s1233,Movie,Dogwashers,Carlos Moreno,Colombia,3/5/2021,2021,TV-MA,108 min,"Comedies, Dramas, International Movies",108
s1234,Movie,Fate of Alakada,Kayode Kasum,Nigeria,3/5/2021,2020,TV-14,113 min,"Comedies, International Movies",113
s1237,Movie,Sentinelle,Julien Leclercq,France,3/5/2021,2021,TV-MA,81 min,"Action & Adventure, Dramas, International Movies",81
s1238,Movie,Mariposa,Fajar Bustomi,Indonesia,3/4/2021,2020,TV-14,116 min,"Comedies, International Movies, Romantic Movies",116
s1240,Movie,Parker,Taylor Hackford,United States,3/4/2021,2013,R,119 min,Action & Adventure,119
s1241,Movie,Safe Haven,Lasse Hallström,United States,3/4/2021,2013,PG-13,116 min,"Dramas, Romantic Movies",116
s1242,Movie,Moxie,Amy Poehler,United States,3/3/2021,2021,PG-13,112 min,"Comedies, Dramas, Music & Musicals",112
s1244,Movie,Black or White,Mike Binder,United States,3/2/2021,2014,PG-13,121 min,Dramas,121
s1245,Movie,Indoo Ki Jawani,Abir Sengupta,India,3/2/2021,2020,TV-14,115 min,"Action & Adventure, Comedies, International Movies",115
s1249,Movie,Biggie: I Got a Story to Tell,Emmett Malloy,United States,3/1/2021,2021,R,98 min,"Documentaries, Music & Musicals",98
s1250,Movie,Blanche Gardin: The All-Nighter,"Xavier Maingon, Marc-Antoine Hélard",Not Given,3/1/2021,2021,TV-MA,96 min,Stand-Up Comedy,96
s1251,Movie,Connected,Milton Kremer,Not Given,3/1/2021,2021,TV-G,42 min,"Documentaries, International Movies, Music & Musicals",42
s1248,Movie,Banyuki,Hidenori Inoue,Not Given,3/1/2021,2009,TV-PG,182 min,"Action & Adventure, Dramas, International Movies",182
s1252,Movie,Dances with Wolves,Kevin Costner,United States,3/1/2021,1990,PG-13,181 min,"Action & Adventure, Classic Movies, Dramas",181
s1253,Movie,How to Be Really Bad,Marco Petry,Germany,3/1/2021,2018,TV-14,100 min,"Comedies, International Movies",100
s1254,Movie,LEGO Marvel Spider-Man: Vexed by Venom,"Andrew Duncan, Ken Cunningham",United States,3/1/2021,2019,TV-Y,22 min,"Children & Family Movies, Comedies",22
s1255,Movie,Rain Man,Barry Levinson,United States,3/1/2021,1988,R,134 min,"Classic Movies, Dramas",134
s1257,Movie,Tenacious D in The Pick of Destiny,Liam Lynch,United States,3/1/2021,2006,R,94 min,"Comedies, Cult Movies, Music & Musicals",94
s1256,Movie,Seven Souls in the Skull Castle 2011,Hidenori Inoue,Not Given,3/1/2021,2011,TV-14,177 min,"Action & Adventure, Dramas, International Movies",177
s1259,Movie,Bigfoot Family,"Jérémie Degruson, Ben Stassen",Belgium,2/26/2021,2021,TV-Y7,88 min,"Children & Family Movies, Comedies",88
s1260,Movie,Captain Fantastic,Matt Ross,United States,2/26/2021,2016,R,119 min,"Comedies, Dramas, Independent Movies",119
s1261,Movie,Crazy About Her,Dani de la Orden,Spain,2/26/2021,2021,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",107
s1262,Movie,Fuga,Pablo Larraín,Argentina,2/26/2021,2006,TV-MA,112 min,"Dramas, Independent Movies, International Movies",112
s1264,Movie,No Escape,John Erick Dowdle,United States,2/26/2021,2015,R,103 min,Action & Adventure,103
s1265,Movie,Our Idiot Brother,Jesse Peretz,United States,2/26/2021,2011,R,90 min,"Comedies, Dramas, Independent Movies",90
s1266,Movie,The Girl on the Train,Ribhu Dasgupta,India,2/26/2021,2021,TV-MA,120 min,"International Movies, Thrillers",120
s1267,Movie,Tony Manero,Pablo Larraín,Chile,2/26/2021,2008,TV-MA,97 min,"Dramas, Independent Movies, International Movies",97
s1268,Movie,Who Am I,Baran bo Odar,Germany,2/26/2021,2014,TV-MA,102 min,"International Movies, Thrillers",102
s1270,Movie,Geez & Ann,Rizki Balki,Indonesia,2/25/2021,2021,TV-PG,106 min,"Dramas, International Movies, Romantic Movies",106
s1277,Movie,M8 - When Death Rescues Life,Jeferson De,Not Given,2/24/2021,2019,TV-MA,84 min,"Dramas, International Movies",84
s1274,Movie,"Blue, Painful, Fragile",Shunsuke Kariyama,Japan,2/24/2021,2020,TV-14,119 min,"International Movies, Thrillers",119
s1279,Movie,Brian Regan: On the Rocks,Troy Miller,United States,2/23/2021,2021,TV-G,58 min,Stand-Up Comedy,58
s1280,Movie,Made You Look: A True Story About Fake Art,Barry Avrich,Canada,2/23/2021,2020,TV-14,90 min,"Documentaries, International Movies",90
s1281,Movie,Pelé,"David Tryhorn, Ben Nicholas",United Kingdom,2/23/2021,2021,TV-14,109 min,"Documentaries, International Movies, Sports Movies",109
s1282,Movie,Red,Tirumala Kishore,India,2/23/2021,2021,TV-14,143 min,"Dramas, International Movies",143
s1284,Movie,The Conjuring,James Wan,United States,2/21/2021,2013,R,112 min,"Horror Movies, Thrillers",112
s1285,Movie,The Conjuring 2,James Wan,Canada,2/21/2021,2016,R,134 min,Horror Movies,134
s1287,Movie,Classmates Minus,Huang Hsin-Yao,Taiwan,2/20/2021,2020,TV-MA,123 min,"Comedies, Dramas, Independent Movies",123
s1289,Movie,Operation Finale,Chris Weitz,United States,2/20/2021,2018,PG-13,123 min,"Dramas, Thrillers",123
s1291,Movie,I Care a Lot,J Blakeson,United Kingdom,2/19/2021,2021,R,118 min,"Comedies, LGBTQ Movies, Thrillers",118
s1292,Movie,Love,Khalid Rahman,India,2/19/2021,2020,TV-14,91 min,"Dramas, Independent Movies, International Movies",91
s1293,Movie,Perú: Tesoro escondido,Luis Ara,Uruguay,2/19/2021,2017,TV-PG,76 min,"Documentaries, International Movies",76
s1290,Movie,Wave of Cinema: Surat dari Timur,Saron Sakina,Not Given,2/20/2021,2020,TV-G,58 min,"Documentaries, International Movies, Music & Musicals",58
s1296,Movie,Eeb Allay Ooo!,Prateek Vats,India,2/18/2021,2019,TV-MA,97 min,"Comedies, Dramas, Independent Movies",97
s1298,Movie,No Escape Room,Alex Merkin,United States,2/18/2021,2018,TV-14,85 min,Horror Movies,85
s1304,Movie,The Most Unknown,Ian Cheney,United States,2/17/2021,2018,TV-PG,92 min,Documentaries,92
s1305,Movie,Animals on the Loose: A You vs. Wild Movie,Ben Simms,United States,2/16/2021,2021,TV-PG,139 min,Children & Family Movies,139
s1306,Movie,Awara Paagal Deewana,Vikram Bhatt,India,2/16/2021,2002,TV-14,162 min,"Action & Adventure, Comedies, Dramas",162
s1308,Movie,The Resurrection of Gavin Stone,Dallas Jenkins,United States,2/16/2021,2017,PG,92 min,"Children & Family Movies, Comedies, Dramas",92
s1310,Movie,"My Teacher, My Obsession",Damián Romay,United States,2/15/2021,2018,TV-14,86 min,Thrillers,86
s1312,Movie,Namaste Wahala,Hamisha Daryani Ahuja,Nigeria,2/14/2021,2021,TV-14,107 min,"Comedies, Dramas, International Movies",107
s1313,Movie,Monsoon,Hong Khaou,United Kingdom,2/13/2021,2020,TV-MA,85 min,"Dramas, Independent Movies, LGBTQ Movies",85
s1316,Movie,Hate by Dani Rovira,Mario Briongos,Spain,2/12/2021,2021,TV-MA,83 min,Stand-Up Comedy,83
s1317,Movie,Mundina Nildana,Vinay Bharadwaj,India,2/12/2021,2019,TV-MA,104 min,"Dramas, International Movies, Romantic Movies",104
s1319,Movie,To All The Boys: Always And Forever,Michael Fimognari,United States,2/12/2021,2021,TV-14,116 min,"Comedies, Romantic Movies",116
s1320,Movie,Xico's Journey,Eric D. Cabello Díaz,Mexico,2/12/2021,2021,TV-Y7,87 min,Children & Family Movies,87
s1323,Movie,Growing up and other problems,Clara Martínez-Lázaro,Spain,2/11/2021,2018,TV-14,91 min,"Comedies, Dramas, International Movies",91
s1324,Movie,Layla Majnun,Monty Tiwa,Indonesia,2/11/2021,2020,TV-14,119 min,"Dramas, International Movies, Romantic Movies",119
s1325,Movie,Middle of Nowhere,Ava DuVernay,United States,2/11/2021,2012,R,102 min,"Dramas, Independent Movies, Romantic Movies",102
s1326,Movie,Red Dot,Alain Darborg,Sweden,2/11/2021,2021,TV-MA,86 min,"International Movies, Thrillers",86
s1327,Movie,Squared Love,Filip Zylber,Poland,2/11/2021,2021,TV-14,102 min,"Comedies, International Movies, Romantic Movies",102
s1328,Movie,This Is the Life,Ava DuVernay,United States,2/11/2021,2008,TV-MA,98 min,"Documentaries, Music & Musicals",98
s1330,Movie,The Misadventures of Hedi and Cokeman,Julien Royal,France,2/10/2021,2021,TV-MA,99 min,"Comedies, International Movies",99
s1331,Movie,The World We Make,Brian Baugh,United States,2/10/2021,2019,PG,108 min,"Dramas, Romantic Movies",108
s1334,Movie,War Dogs,Todd Phillips,United States,2/8/2021,2016,R,114 min,"Comedies, Dramas",114
s1335,Movie,Monster Run,Henri Wong,China,2/7/2021,2020,TV-14,104 min,"Action & Adventure, International Movies",104
s1337,Movie,Blanche Gardin: I talk to myself,Maïa Sandoz,France,2/5/2021,2017,TV-MA,88 min,Stand-Up Comedy,88
s1338,Movie,Doob: No Bed of Roses,Mostofa Sarwar Farooki,Bangladesh,2/5/2021,2017,TV-PG,104 min,"Dramas, Independent Movies, International Movies",104
s1341,Movie,Little Big Women,Joseph Hsu,Taiwan,2/5/2021,2020,TV-14,123 min,"Dramas, International Movies",123
s1342,Movie,Malcolm & Marie,Sam Levinson,United States,2/5/2021,2021,R,106 min,"Dramas, Independent Movies",106
s1343,Movie,Space Sweepers,Jo Sung-hee,South Korea,2/5/2021,2021,TV-MA,138 min,"Action & Adventure, Dramas, International Movies",138
s1344,Movie,"Strip Down, Rise Up",Michèle Ohayon,United States,2/5/2021,2021,R,113 min,Documentaries,113
s1345,Movie,The Last Paradiso,Rocco Ricciardulli,Italy,2/5/2021,2020,TV-MA,107 min,"Dramas, International Movies, Romantic Movies",107
s1346,Movie,The Yin-Yang Master: Dream Of Eternity,Guo Jingming,China,2/5/2021,2021,TV-14,133 min,"Action & Adventure, International Movies",133
s1347,Movie,All My Friends Are Dead,Jan Belcl,Poland,2/3/2021,2020,TV-MA,97 min,"Comedies, Dramas, International Movies",97
s1348,Movie,Black Beach,Esteban Crespo,Spain,2/3/2021,2020,TV-MA,116 min,"Action & Adventure, International Movies",116
s1352,Movie,"Our Lady of San Juan, Four Centuries of Miracles",Noé González,Mexico,2/2/2021,2020,TV-PG,123 min,"Dramas, Faith & Spirituality, International Movies",123
s1354,Movie,Beverly Hills Ninja,Dennis Dugan,United States,2/1/2021,1997,PG-13,89 min,"Action & Adventure, Comedies",89
s1358,Movie,Rocks,Sarah Gavron,United Kingdom,2/1/2021,2019,TV-MA,93 min,Dramas,93
s1359,Movie,Shutter Island,Martin Scorsese,United States,2/1/2021,2010,R,139 min,Thrillers,139
s1360,Movie,The Bank Job,Roger Donaldson,United Kingdom,2/1/2021,2008,R,112 min,"Dramas, International Movies, Thrillers",112
s1365,Movie,Zathura,Jon Favreau,United States,2/1/2021,2005,PG,101 min,"Children & Family Movies, Sci-Fi & Fantasy",101
s1367,Movie,Fatima,Marco Pontecorvo,Portugal,1/31/2021,2020,PG-13,113 min,"Dramas, Faith & Spirituality",113
s1368,Movie,Hell Fest,Gregory Plotkin,United States,1/31/2021,2018,R,89 min,Horror Movies,89
s1369,Movie,Below Zero,Lluís Quílez,Spain,1/29/2021,2021,TV-MA,107 min,"Action & Adventure, International Movies",107
s1370,Movie,Finding ‘Ohana,Jude Weng,United States,1/29/2021,2021,PG,123 min,"Children & Family Movies, Comedies",123
s1371,Movie,The Dig,Simon Stone,United Kingdom,1/29/2021,2021,PG-13,113 min,"Dramas, International Movies",113
s1382,Movie,Hire a Woman,Ifeanyi Ikpoenyi,Not Given,1/26/2021,2019,TV-14,108 min,"Comedies, International Movies, Romantic Movies",108
s1373,Movie,June & Kopi,Noviandra Santosa,Indonesia,1/28/2021,2021,TV-PG,90 min,"Children & Family Movies, Dramas, International Movies",90
s1383,Movie,She Is,Chris Eneng Enaji,Not Given,1/26/2021,2019,TV-PG,102 min,"Dramas, International Movies, Romantic Movies",102
s1375,Movie,Accomplice,Jeremy Grant,United States,1/27/2021,2021,TV-14,52 min,"Documentaries, International Movies, Sports Movies",52
s1377,Movie,Kilometers and Kilometers,Jeo Baby,India,1/27/2021,2020,TV-MA,127 min,"Comedies, Dramas, Independent Movies",127
s1379,Movie,Penguin Bloom,Glendyn Ivin,Australia,1/27/2021,2021,TV-14,95 min,"Children & Family Movies, Dramas",95
s1380,Movie,Black Rose,Okey Oku,Nigeria,1/26/2021,2018,TV-14,121 min,"Dramas, International Movies",121
s1387,Movie,So My Grandma’s a Lesbian!,Ángeles Reiné,Portugal,1/22/2021,2020,TV-MA,95 min,"Comedies, International Movies, LGBTQ Movies",95
s1388,Movie,The Next Three Days,Paul Haggis,United States,1/22/2021,2010,PG-13,133 min,"Dramas, Thrillers",133
s1389,Movie,The White Tiger,Ramin Bahrani,India,1/22/2021,2021,R,127 min,Dramas,127
s1390,Movie,Friendsgiving,Nicol Paone,United States,1/21/2021,2020,R,95 min,Comedies,95
s1391,Movie,The Shadow of Violence,Nick Rowland,United Kingdom,1/21/2021,2020,R,101 min,Dramas,101
s1392,Movie,Cut Throat City,RZA,United States,1/20/2021,2020,R,123 min,Dramas,123
s1394,Movie,Sightless,Cooper Karl,United States,1/20/2021,2020,TV-14,89 min,Thrillers,89
s1397,Movie,Homefront,Gary Fleder,United States,1/18/2021,2013,R,100 min,Action & Adventure,100
s1398,Movie,A Monster Calls,J.A. Bayona,United Kingdom,1/16/2021,2016,PG-13,108 min,"Dramas, Sci-Fi & Fantasy",108
s1399,Movie,Death of Me,Darren Lynn Bousman,United States,1/16/2021,2020,R,94 min,Horror Movies,94
s1400,Movie,Radium Girls,"Lydia Dean Pilcher, Ginny Mohler",United States,1/16/2021,2018,TV-14,103 min,"Dramas, Independent Movies",103
s1404,Movie,Double Dad,Cris D'Amato,Brazil,1/15/2021,2020,TV-G,105 min,"Children & Family Movies, Comedies, Dramas",105
s1406,Movie,Outside the Wire,Mikael Håfström,Hungary,1/15/2021,2021,R,116 min,Action & Adventure,116
s1407,Movie,Penguins of Madagascar: The Movie,"Eric Darnell, Simon J. Smith",United States,1/15/2021,2014,PG,92 min,"Children & Family Movies, Comedies",92
s1408,Movie,Pinkfong & Baby Shark's Space Adventure,Byeon Hee-sun,United States,1/15/2021,2019,TV-Y,65 min,Children & Family Movies,65
s1419,Movie,Chris Rock Total Blackout: The Tamborine Extended Cut,Chris Rock,Not Given,1/12/2021,2021,TV-MA,98 min,Stand-Up Comedy,98
s1410,Movie,The Vanished,Peter Facinelli,United States,1/15/2021,2020,R,115 min,Thrillers,115
s1411,Movie,Tribhanga - Tedhi Medhi Crazy,Renuka Shahane,India,1/15/2021,2021,TV-MA,96 min,"Dramas, International Movies",96
s1412,Movie,What Would Sophia Loren Do?,Ross Kauffman,United States,1/15/2021,2021,TV-14,32 min,Documentaries,32
s1413,Movie,Wish You,Sung Do-jun,South Korea,1/15/2021,2021,TV-PG,102 min,"Dramas, International Movies, LGBTQ Movies",102
s1414,Movie,Tanda Tanya,Hanung Bramantyo,Indonesia,1/14/2021,2011,TV-MA,102 min,"Dramas, International Movies",102
s1415,Movie,The Heartbreak Club,"Charles Gozali, Bagus Bramanti",Indonesia,1/14/2021,2020,TV-14,101 min,"Comedies, Dramas, International Movies",101
s1416,Movie,An Imperfect Murder,James Toback,United States,1/13/2021,2017,R,71 min,"Dramas, Thrillers",71
s1418,Movie,Al acecho,Francisco D'Eufemia,Argentina,1/12/2021,2019,TV-MA,81 min,"International Movies, Thrillers",81
s1421,Movie,"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,United States,1/11/2021,2021,TV-MA,90 min,Documentaries,90
s1422,Movie,The Intouchables,"Olivier Nakache, Éric Toledano",France,1/11/2021,2011,R,112 min,"Comedies, Dramas, International Movies",112
s1423,Movie,Apaharan,Prakash Jha,India,1/8/2021,2005,TV-14,161 min,"Dramas, International Movies",161
s1424,Movie,BluffMaster!,Rohan Sippy,India,1/8/2021,2005,TV-14,129 min,"Comedies, International Movies, Romantic Movies",129
s1425,Movie,Charming,Ross Venokur,Canada,1/8/2021,2021,TV-Y7,85 min,"Children & Family Movies, Comedies",85
s1427,Movie,Gangaajal,Prakash Jha,India,1/8/2021,2003,TV-MA,148 min,"Dramas, International Movies",148
s1437,Movie,Ratones Paranoicos: The Band that Rocked Argentina,"Alejandro Ruax, Ramiro Martínez",Not Given,1/6/2021,2021,TV-MA,76 min,"Documentaries, International Movies, Music & Musicals",76
s1429,Movie,Is Love Enough? Sir,Rohena Gera,India,1/8/2021,2018,TV-MA,99 min,"Dramas, Independent Movies, International Movies",99
s1434,Movie,100% Halal,Jastis Arimba,Indonesia,1/7/2021,2020,TV-14,101 min,"Dramas, International Movies",101
s1435,Movie,Leap!,"Eric Summer, Éric Warin",France,1/7/2021,2016,PG,89 min,"Children & Family Movies, Comedies",89
s1436,Movie,Pieces of a Woman,Kornél Mundruczó,Canada,1/7/2021,2020,R,128 min,Dramas,128
s1439,Movie,Tony Parker: The Final Shot,Florent Bodin,France,1/6/2021,2020,TV-14,99 min,"Documentaries, International Movies, Sports Movies",99
s1442,Movie,Hello Brother,Sohail Khan,India,1/4/2021,1999,TV-14,126 min,"Action & Adventure, Comedies, International Movies",126
s1445,Movie,Playing for Keeps,Gabriele Muccino,United States,1/3/2021,2012,PG-13,106 min,"Comedies, Romantic Movies, Sports Movies",106
s1446,Movie,Asphalt Burning,Hallvard Bræin,Norway,1/2/2021,2020,TV-14,101 min,"Action & Adventure, Comedies, International Movies",101
s1447,Movie,Bad Grandpa .5,Jeff Tremaine,United States,1/1/2021,2014,TV-MA,87 min,Comedies,87
s1448,Movie,Case 39,Christian Alvart,United States,1/1/2021,2009,R,111 min,"Horror Movies, Thrillers",111
s1451,Movie,Eddie Murphy: Raw,Robert Townsend,United States,1/1/2021,1987,R,90 min,Stand-Up Comedy,90
s1452,Movie,Full Out 2: You Got This!,Jeff Deverett,United States,1/1/2021,2020,TV-Y,91 min,"Children & Family Movies, Dramas, Sports Movies",91
s1453,Movie,Gimme Shelter,Ron Krauss,United States,1/1/2021,2013,PG-13,101 min,"Dramas, Independent Movies",101
s1454,Movie,Good Burger,Brian Robbins,United States,1/1/2021,1997,PG,96 min,"Children & Family Movies, Comedies",96
s1455,Movie,Good Hair,Jeff Stilson,United States,1/1/2021,2009,PG-13,96 min,Documentaries,96
s1457,Movie,Into the Wild,Sean Penn,United States,1/1/2021,2007,R,148 min,"Action & Adventure, Dramas, Independent Movies",148
s1459,Movie,London Heist,Mark McQueen,United Kingdom,1/1/2021,2017,R,96 min,Action & Adventure,96
s1460,Movie,Mean Girls 2,Melanie Mayron,United States,1/1/2021,2011,PG-13,98 min,Comedies,98
s1462,Movie,Mystic Pizza,Donald Petrie,United States,1/1/2021,1988,R,104 min,"Comedies, Dramas, Independent Movies",104
s1465,Movie,The Creative Brain,"Jennifer Beamish, Toby Trackman",United States,1/1/2021,2019,TV-14,53 min,Documentaries,53
s1468,Movie,Unknown,Jaume Collet-Serra,United Kingdom,1/1/2021,2011,PG-13,113 min,"Action & Adventure, Thrillers",113
s1469,Movie,What Happened to Mr. Cha?,Kim Dong-kyu,South Korea,1/1/2021,2021,TV-MA,102 min,"Comedies, International Movies",102
s1470,Movie,What's Eating Gilbert Grape,Lasse Hallström,United States,1/1/2021,1993,PG-13,118 min,"Classic Movies, Dramas, Independent Movies",118
s1471,Movie,Alaska Is a Drag,Shaz Bennett,United States,12/31/2020,2017,TV-MA,83 min,"Dramas, LGBTQ Movies",83
s1473,Movie,Bobby Jasoos,Samar Shaikh,India,12/31/2020,2014,TV-14,116 min,"Comedies, Dramas, International Movies",116
s1475,Movie,Tarung Sarung,Archie Hekagery,Indonesia,12/31/2020,2020,TV-PG,116 min,"Action & Adventure, Dramas, Faith & Spirituality",116
